mbs;postupak;datum_stecaja
10030521;2;2016-09-04T22:00:00Z
10030564;1;
10030572;1;
10030669;1;
10030685;1;
10030716;1;
10030732;1;
10030765;1;
10030773;1;
10030804;1;
10030845;1;
10030923;1;
10030982;1;
10030999;1;
10031006;1;
10031014;1;
10031022;1;
10031039;5;
10031098;1;
10031135;1;
10031186;1;
10031233;1;
10031241;1;
10031250;2;2017-03-20T23:00:00Z
10031276;1;
10031284;1;
10031348;1;
10031356;1;
10031389;1;
10031397;1;
10031410;1;
10031428;1;
10031493;1;
10031573;1;
10031590;1;
10031612;1;
10031629;1;
10031637;1;
10031653;1;
10031715;1;
10031731;1;
10031740;2;2017-04-25T22:00:00Z
10031766;1;
10031803;2;2018-07-04T22:00:00Z
10031820;1;
10031854;1;
10031862;1;
10031942;1;
10031975;1;
10032009;5;
10032033;1;
10032050;1;
10032068;1;
10032084;1;
10032092;1;
10032105;1;
10032172;1;
10032201;1;
10032236;1;
10032269;1;
10032277;2;2018-11-13T23:00:00Z
10032308;1;
10032316;1;
10032349;1;
10032381;1;
10032412;1;
10032429;1;
10032470;1;
10032488;1;
10032496;1;
10032515;1;
10032540;1;
10032638;1;
10032695;1;
10032700;1;
10032718;1;
10032726;1;
10032759;1;
10032767;1;
10032783;1;
10032791;1;
10032822;1;
10032880;1;
10032902;1;
10032935;1;
10032978;1;
10033001;1;
10033028;1;
10033044;1;
10033052;1;
10033077;1;
10033085;1;
10033093;1;
10033108;1;
10033181;5;
10033261;1;
10033270;1;
10033358;1;
10033374;1;
10033438;1;
10033446;1;
10033454;1;
10033462;1;
10033526;1;
10033614;1;
10033647;1;
10033680;1;
10033786;1;
10033794;1;
10033850;3;
10033876;1;
10033884;1;
10033892;1;
10033913;1;
10033930;1;
10034012;4;
10034045;1;
10034166;1;
10034203;1;
10034246;2;2019-10-03T22:00:00Z
10034318;1;
10034375;1;
10034383;7;
10034414;1;
10034471;1;
10034535;1;
10034617;1;
10034684;1;
10034705;3;
10034748;1;
10034764;1;
10034789;1;
10034810;1;
10034852;1;
10034877;1;
10034885;1;
10034981;1;
10035023;1;
10035058;1;
10035066;1;
10035074;1;
10035179;1;
10035242;1;
10035259;1;
10035275;1;
10035306;1;
10035314;1;
10035339;1;
10035427;3;
10035435;1;
10035517;1;
10035533;1;
10035541;1;
10035584;1;
10035769;1;
10035777;3;
10035785;1;
10035849;1;
10035865;1;
10035881;1;
10035904;1;
10035912;1;
10035937;1;
10036000;1;
10036059;1;
10036075;1;
10036106;1;
10036114;1;
10036122;1;
10036155;1;
10036163;1;
10036227;1;
10036235;1;
10036286;1;
10036309;1;
10036421;1;
10036464;1;
10036489;1;
10036544;1;
10036569;1;
10036657;1;
10036690;1;
10036761;1;
10036770;1;
10036823;1;
10036882;1;
10036903;1;
10036938;1;
10036979;1;
10036987;1;
10036995;1;
10037027;1;
10037051;2;2016-05-16T22:00:00Z
10037078;1;
10037094;1;
10037141;1;
10037192;1;
10037205;1;
10037248;1;
10037264;1;
10037301;1;
10037344;1;
10037352;1;
10037393;1;
10037408;1;
10037424;1;
10037432;1;
10037457;1;
10037465;1;
10037490;1;
10037504;1;
10037537;1;
10037545;1;
10037553;1;
10037561;1;
10037596;1;
10037699;3;
10037720;1;
10037762;1;
10037779;1;
10037795;1;
10037800;1;
10037818;1;
10037867;1;
10037875;1;
10037891;1;
10037906;1;
10037922;1;
10037963;2;2017-05-07T22:00:00Z
10037971;1;
10037980;1;
10037998;1;
10038005;1;
10038048;1;
10038056;1;
10038064;1;
10038072;1;
10038097;1;
10038110;3;
10038152;1;
10038177;1;
10038249;1;
10038257;1;
